Graph size,Runtime [ms],Utility
100,2678945,1984
200,1246655,6487
300,1794755,11283
400,9251370,14146
500,11471378,20336
600,3337626,26399
700,3867635,25577
800,4565919,32641
900,5040171,34361
1000,5465155,39215
1100,6121206,45105
1200,6644644,46991
1300,28919332,51587
1400,7894675,53004
1500,8091787,56069
1600,8752741,61486
1700,9338912,71240
1800,9964052,73491
1900,10377361,74444
2000,11005888,79000
2100,11504578,84091
2200,12116127,89165
2300,51710142,95042
2400,13270765,102117
2500,13803027,100749
2600,14417795,108021
2700,14874025,110444
2800,15631359,113565
2900,16144337,114642
3000,16778507,123741
3100,17126585,130700
3200,18001010,122960
3300,18455976,126409
3400,19051262,140626
3500,19824103,143378
3600,20190406,137401
3700,21293027,149123
3800,21297073,152066
3900,22452036,157422
4000,22933771,166486
4100,23569094,160226
4200,23762433,164111
4300,25096207,171503
4400,25509397,180004
4500,25703211,186306
4600,26553084,183774
4700,27378383,191252
4800,28295722,199458
4900,28774538,203928
5000,117008385,196497
5100,30944894,213217
5200,30509202,209735
5300,31818027,220218
5400,31659854,221745
5500,33946415,220193
5600,33700490,222617
5700,34289294,225720
5800,36230444,235926
5900,36566833,236626
6000,36711064,237323
6100,38302496,254214
6200,38169897,240366
6300,39722083,248574
6400,40009051,263656
6500,40402933,257370
6600,41192306,261081
6700,41646335,273220
6800,42949021,281567
6900,43436564,285639
7000,46064425,272870
7100,47002721,280354
7200,47440508,295417
7300,47168167,296272
7400,48120285,295577
7500,49000408,303091
7600,50226922,312672
7700,51619060,319287
7800,51482282,315263
7900,51705170,324578
8000,52683011,327538
8100,54207267,323354
8200,54680286,334816
8300,57378972,337323
8400,57785164,340566
8500,58699463,350687
8600,58444613,348663
8700,59418876,359973
8800,60004026,347396
8900,62445159,359278
9000,62957759,365306
9100,62295433,360396
9200,63830282,367256
9300,64219610,380761
9400,66756113,370610
9500,68582984,385263
9600,70459003,383797
9700,68178769,395566
9800,69064057,390610
9900,70185973,386926
10000,72331449,394818
